"","loQ","hiQ","lang_main","load_main","langXload","P_mixed","effSizeN1er","effSizeN1RE","effSizeP1er","effSizeP1RE"
"1",0,0,0,0,0,0,0,0,0,0
"2",0.05,0.05,0.542653078290987,0.270644893391101,0.472929754781051,0,-0.651432332574272,-0.0400717274835588,-0.366284502874083,0.296277124779749
"3",0.05,0.15,0.0644632479451893,0.366858215625801,0.143188613803549,0,-0.679518189608522,-0.0430682350926052,-0.382327712526247,0.288343879743674
"4",0.15,0.15,0.168310284392067,0.353705023645327,0.0526010825386954,0,-0.404732889551776,-0.0333303101921676,-0.229244175522574,0.0460669439699718
"5",0.05,0.25,0.0632662835749285,0.352345192939893,0.123027078229362,0,-0.714758536401031,-0.036193186274971,-0.3935679976643,0.309588198053612
"6",0.15,0.25,0.119747155106753,0.583729734136075,0.267450768639877,0,-0.439973236344286,-0.0264552613745335,-0.240484460660627,0.0673112622799099
"7",0.25,0.25,0.206364809753878,0.410092725039886,0.0417746632393802,0,-0.383833893788441,0.00747348974178957,-0.182550066847077,0.112554197648075
"8",0.05,0.35,0.101193365230575,0.326298201638164,0.118754670096821,0,-0.665184675038221,-0.0387854710161977,-0.362197570945369,0.311782738722129
"9",0.15,0.35,0.182256383112609,0.395350956675418,0.157507865129787,0,-0.390399374981476,-0.0290475461157601,-0.209114033941696,0.069505802948427
"10",0.25,0.35,0.687851004168557,0.30997879823908,0.0735925696060721,0,-0.334260032425631,0.00488120500056294,-0.151179640128145,0.114748738316592
"11",0.35,0.35,0.419344628505899,0.807104338934324,0.17395167010518,0,-0.132611385888832,-0.00206299948125821,-0.040820431844158,0.0866969218629605
"12",0.05,0.45,0.10217189415046,0.317728660585527,0.116264259605611,0,-0.653869036131052,-0.0018627212721688,-0.317060890613676,0.318267349788077
"13",0.15,0.45,0.176337445156492,0.39171762622502,0.195254270403914,0,-0.379083736074306,0.00787520362826877,-0.163977353610004,0.075990414014375
"14",0.25,0.45,0.306608412468747,0.313422601147457,0.157026349131403,0,-0.322944393518461,0.0418039547445918,-0.106042959796453,0.12123334938254
"15",0.35,0.45,0.391012252180955,0.696137461129517,0.649556793007924,0,-0.121295746981662,0.0348597502627707,0.00431624848753409,0.0931815329289085
"16",0.45,0.45,0.451117782070836,0.969733889762981,0.154763379812906,0,-0.0780710696353388,0.0804117407302625,0.0685244623092841,0.08183516923545
"17",0.05,0.55,0.108871651050315,0.318857007149432,0.114720293673876,0,-0.692546326617914,-0.0438420281221754,-0.33653141382399,0.273613621214884
"18",0.15,0.55,0.170675862741787,0.428968032759797,0.171173055440626,0,-0.417761026561169,-0.0341041032217378,-0.183447876820318,0.0313366854411824
"19",0.25,0.55,0.244807158225474,0.474178446692365,0.128836513191459,0,-0.361621684005324,-0.000175352105414806,-0.125513483006767,0.0765796208093473
"20",0.35,0.55,0.400212811467245,0.896769240406462,0.579330667181768,0,-0.159973037468525,-0.00711955658723595,-0.0151542747227799,0.0485278043557159
"21",0.45,0.55,0.547529000922317,0.544005597899823,0.662138503766535,0,-0.116748360122201,0.0384324338802559,0.0490539390989702,0.0371814406622574
"22",0.55,0.55,0.509606556164353,0.793982658606895,0.182698372663537,0,-0.134184051870437,-0.0105057101295684,0.0206657812833915,-0.0142026939236578
"23",0.05,0.65,0.109607135591583,0.324982594140935,0.118751509889492,0,-0.651709458254122,-0.0350164046868486,-0.386256435612986,0.128139406120654
"24",0.15,0.65,0.160757737999187,0.421391935667273,0.160203934565291,0,-0.376924158197376,-0.0252784797864111,-0.233172898609313,-0.114137529653048
"25",0.25,0.65,0.224160403037839,0.468241748546062,0.129104033715521,0,-0.320784815641531,0.00865027132991197,-0.175238504795763,-0.0688945942848826
"26",0.35,0.65,0.390906170472957,0.892355749902359,0.515851690881753,0,-0.119136169104732,0.00170606684809083,-0.0648792965117755,-0.0969464107385141
"27",0.45,0.65,0.520530572294307,0.956883087325635,0.553668077956396,0,-0.0759114917584086,0.0472580573155827,-0.000671082690025471,-0.108292774431973
"28",0.55,0.65,0.644898274771149,0.69691654473611,0.58388314941629,0,-0.0933471835066444,-0.00168008669424158,-0.0290592405056042,-0.159676909017888
"29",0.65,0.65,0.530648187479303,0.957039828068159,0.228602885137697,0,-0.0507166435726365,0.00468755493399542,-0.0589944984040393,-0.235840901989912
"30",0.05,0.75,0.135487731656761,0.333651718594476,0.123622782291724,0,-0.691581163163525,-0.0115027577261625,-0.416038792831439,0.132201081678346
"31",0.15,0.75,0.193551220335326,0.435516599714425,0.168701760460622,0,-0.416795863106779,-0.00176483282572493,-0.262955255827766,-0.110075854095356
"32",0.25,0.75,0.249371191601438,0.509758243608152,0.161265747891506,0,-0.360656520550934,0.0321639182905981,-0.205020862014216,-0.0648329187271911
"33",0.35,0.75,0.39474130242324,0.889642482374733,0.464664918063726,0,-0.159007874014135,0.025219713808777,-0.0946616537302284,-0.0928847351808225
"34",0.45,0.75,0.447861963744715,0.955733758471639,0.489051309947222,0,-0.115783196667812,0.0707717042762688,-0.0304534399084784,-0.104231098874281
"35",0.55,0.75,0.474908188979074,0.864237341890772,0.546691634146816,0,-0.133218888416047,0.0218335602664446,-0.0588415977240571,-0.155615233460196
"36",0.65,0.75,0.349531964509963,0.974422044898763,0.468932825594767,0,-0.0905883484820394,0.0282012018946816,-0.0887768556224922,-0.231779226432221
"37",0.75,0.75,0.68805908553051,0.95721940137078,0.306008945442603,0,-0.09711426891918,0.0354113505332013,-0.090838915220254,-0.198952895070624
"38",0.05,0.85,0.101036062751054,0.355952108383798,0.192802607792186,0,-0.62631668655233,-0.17416392759961,-0.322774702526293,0.121460247036529
"39",0.15,0.85,0.140107068072996,0.475625106704031,0.247029621802588,0,-0.351531386495584,-0.164426002699173,-0.16969116552262,-0.120816688737173
"40",0.25,0.85,0.178996985092156,0.564089104230646,0.22443314983394,0,-0.295392043939739,-0.13049725158285,-0.11175677170907,-0.075573753369008
"41",0.35,0.85,0.293289014362588,0.839369510456352,0.451189130239286,0,-0.09374339740294,-0.137441456064671,-0.00139756342508268,-0.103625569822639
"42",0.45,0.85,0.341947888648504,0.868995913524619,0.427997677731243,0,-0.0505187200566165,-0.091889465597179,0.0628106503966673,-0.114971933516098
"43",0.55,0.85,0.41275635722693,0.871145424853956,0.46592820331275,0,-0.0679544118048523,-0.140827609607003,0.0344224925810886,-0.166356068102013
"44",0.65,0.85,0.491720301077551,0.88735182490645,0.581472756795945,0,-0.0253238718708444,-0.134459967978766,0.00448723468265355,-0.242520061074038
"45",0.75,0.85,0.907457436167582,0.905891289662178,0.549337420567975,0,-0.0318497923079849,-0.127249819340247,0.00242517508489171,-0.209693729712441
"46",0.85,0.85,0.454208481657914,0.868837544586201,0.333305405313562,0,-0.00891987832038277,-0.160100895215702,0.0295566971192548,-0.188174362923014
"47",0.05,0.95,0.300359961992491,0.114982225740396,0.0911183297971899,0,-1.21859666330138,-0.313376840373477,-0.782712355289236,0.321309899371785
"48",0.15,0.95,0.479263098116728,0.0905283376057496,0.120627722596814,0,-0.943811363244638,-0.30363891547304,-0.629628818285563,0.079032963598083
"49",0.25,0.95,0.562984830065141,0.0953914442593884,0.12273575462587,0,-0.887672020688793,-0.269710164356717,-0.571694424472013,0.124275898966248
"50",0.35,0.95,0.818965003397842,0.109455864192269,0.347043650847912,0,-0.686023374151994,-0.276654368838538,-0.461335216188026,0.0962240825126165
"51",0.45,0.95,0.858474822581028,0.107852226918787,0.349739729600664,0,-0.64279869680567,-0.231102378371046,-0.397127002366276,0.084877718819158
"52",0.55,0.95,0.89966316611537,0.105426698167331,0.381177952063921,0,-0.660234388553906,-0.28004052238087,-0.425515160181854,0.0334935842332428
"53",0.65,0.95,0.876422016864622,0.102785159365043,0.390070787108309,0,-0.617603848619898,-0.273672880752633,-0.455450418080289,-0.0426704087387817
"54",0.75,0.95,0.962600035173355,0.113202825135927,0.49397602111852,0,-0.624129769057038,-0.266462732114113,-0.457512477678051,-0.0098440773771854
"55",0.85,0.95,0.53300393640223,0.204400393823638,0.293862761027077,0,-0.601199855069436,-0.299313807989568,-0.430380955643688,0.0116752894122416
"56",0.95,0.95,0.706991833455788,0.124274104190989,0.343583557550414,0,-0.631524980422331,-0.289826217800909,-0.457763974723573,0.0419861341601289
